id,name,team,position,school
1704,Manti Te'o,San Diego Chargers,Linebacker,Notre Dame
1705,Justin Tuck,Oakland Raiders,Defensive End,Notre Dame
1706,Stephon Tuitt,Pittsburgh Steelers,Defensive Tackle,Notre Dame
1707,Darrin Walls,New York Jets,Cornerback,Notre Dame
1708,Chris Watt,San Diego Chargers,Offensive Guard,Notre Dame
1709,Ian Williams,San Francisco 49ers,Defensive Tackle,Notre Dame
1710,Cierre Wood,Baltimore Ravens,Running Back,Notre Dame
1711,Sam Young,Jacksonville Jaguars,Offensive Tackle,Notre Dame
1712,Jason Trusnik,Miami Dolphins,Linebacker,Ohio Northern
1713,Mike Adams,Pittsburgh Steelers,Offensive Tackle,Ohio State
1714,Will Allen,Pittsburgh Steelers,Strong Safety,Ohio State
1715,C.J. Barnett,New York Giants,Defensive Back,Ohio State
1716,Zach Boren,San Diego Chargers,Fullback,Ohio State
1717,Mike Brewster,Jacksonville Jaguars,Offensive Guard,Ohio State
1718,Philly Brown,Carolina Panthers,Wide Receiver,Ohio State
1719,Bryant Browning,Pittsburgh Steelers,Offensive Guard,Ohio State
1720,Christian Bryant,St. Louis Rams,Safety,Ohio State
1721,Chimdi Chekwa,Oakland Raiders,Defensive Back,Ohio State
1722,Kurt Coleman,Minnesota Vikings,Free Safety,Ohio State
1723,Nate Ebner,New England Patriots,Defensive Back,Ohio State
1724,Reid Fragel,Cleveland Browns,Offensive Tackle,Ohio State
1725,Ted Ginn Jr.,Arizona Cardinals,Wide Receiver,Ohio State
1726,Marcus Hall,Indianapolis Colts,Offensive Guard,Ohio State
1727,Jordan Hall,Pittsburgh Steelers,Running Back,Ohio State
1728,Johnathan Hankins,New York Giants,Defensive Tackle,Ohio State
1729,Brian Hartline,Miami Dolphins,Wide Receiver,Ohio State
1730,A.J. Hawk,Green Bay Packers,Linebacker,Ohio State
1731,Daniel Herron,Indianapolis Colts,Running Back,Ohio State
1732,Cameron Heyward,Pittsburgh Steelers,Defensive End,Ohio State
1733,Santonio Holmes,Chicago Bears,Wide Receiver,Ohio State
1734,Travis Howard,New York Giants,Cornerback,Ohio State
1735,Carlos Hyde,San Francisco 49ers,Running Back,Ohio State
1736,Malcolm Jenkins,Philadelphia Eagles,Free Safety,Ohio State
1737,Orhian Johnson,Arizona Cardinals,Strong Safety,Ohio State
1738,James Laurinaitis,St. Louis Rams,Linebacker,Ohio State
1739,Corey Linsley,Green Bay Packers,Center,Ohio State
1740,Nick Mangold,New York Jets,Center,Ohio State
1741,Jake McQuaide,St. Louis Rams,Center,Ohio State
1742,Jack Mewhort,Indianapolis Colts,Offensive Tackle,Ohio State
1743,Andrew Norwell,Carolina Panthers,Offensive Guard,Ohio State
1744,Mike Nugent,Cincinnati Bengals,Place kicker,Ohio State
1745,DeVier Posey,Houston Texans,Wide Receiver,Ohio State
1746,Terrelle Pryor,Seattle Seahawks,Quarterback,Ohio State
1747,Brian Robiskie,Tennessee Titans,Wide Receiver,Ohio State
1748,Bradley Roby,Denver Broncos,Cornerback,Ohio State
1749,Anderson Russell,Carolina Panthers,Defensive Back,Ohio State
1750,Etienne Sabino,St. Louis Rams,Linebacker,Ohio State
1751,Dane Sanzenbacher,Cincinnati Bengals,Wide Receiver,Ohio State
1752,Ryan Shazier,Pittsburgh Steelers,Linebacker,Ohio State
1753,J.B. Shugarts,Tampa Bay Buccaneers,Offensive Tackle,Ohio State
1754,John Simon,Baltimore Ravens,Linebacker,Ohio State
1755,Rob Sims,Detroit Lions,Offensive Guard,Ohio State
1756,Will Smith,New England Patriots,Defensive End,Ohio State
1757,Austin Spitler,Baltimore Ravens,Linebacker,Ohio State
1758,Jake Stoneburner,Green Bay Packers,Tight End,Ohio State
1759,Donte Whitner,Cleveland Browns,Strong Safety,Ohio State
1760,Doug Worthington,San Diego Chargers,Defensive Tackle,Ohio State
1761,Phil Bates,Seattle Seahawks,Wide Receiver,Ohio U.
1762,T.J. Carrie,Oakland Raiders,Cornerback,Ohio U.
1763,Landon Cohen,Buffalo Bills,Defensive End,Ohio U.
1764,Donte Foster,Minnesota Vikings,Wide Receiver,Ohio U.
1765,Eric Herman,New York Giants,Offensive Guard,Ohio U.
1766,Mike Mitchell,Pittsburgh Steelers,Free Safety,Ohio U.
1767,Julian Posey,Minnesota Vikings,Defensive Back,Ohio U.
1768,Jordan Thompson,Detroit Lions,Tight End,Ohio U.
1769,Dave Zastudil,Arizona Cardinals,Punter,Ohio U.
1770,Frank Alexander,Carolina Panthers,Defensive End,Oklahoma
1771,Lacoltan Bester,Houston Texans,Wide Receiver,Oklahoma
1772,Sam Bradford,St. Louis Rams,Quarterback,Oklahoma
1773,Cory Brandon,Arizona Cardinals,None,Oklahoma
1774,Justin Brown,Pittsburgh Steelers,Wide Receiver,Oklahoma
1775,Ryan Broyles,Detroit Lions,Wide Receiver,Oklahoma
1776,Quinton Carter,Denver Broncos,Strong Safety,Oklahoma
1777,Chris Chester,Washington Redskins,Offensive Guard,Oklahoma
1778,Brennan Clay,Denver Broncos,Running Back,Oklahoma
1779,Keenan Clayton,Arizona Cardinals,Linebacker,Oklahoma
1780,Aaron Colvin,Jacksonville Jaguars,Cornerback,Oklahoma
1781,Roy Finch,New England Patriots,Running Back,Oklahoma
1782,Jamell Fleming,Jacksonville Jaguars,Cornerback,Oklahoma
1783,Dominique Franks,Baltimore Ravens,Defensive Back,Oklahoma
1784,Jermaine Gresham,Cincinnati Bengals,Tight End,Oklahoma
1785,James Hanna,Dallas Cowboys,Tight End,Oklahoma
1786,Demontre Hurst,Chicago Bears,Cornerback,Oklahoma
1787,Gabe Ikard,Tennessee Titans,Center,Oklahoma
1788,Bronson Irwin,Houston Texans,Offensive Guard,Oklahoma
1789,Tony Jefferson,Arizona Cardinals,Free Safety,Oklahoma
1790,Lane Johnson,Philadelphia Eagles,Offensive Tackle,Oklahoma
1791,Landry Jones,Pittsburgh Steelers,Quarterback,Oklahoma
1792,Davin Joseph,St. Louis Rams,Offensive Guard,Oklahoma
1793,David King,Cincinnati Bengals,Defensive End,Oklahoma
1794,Travis Lewis,Detroit Lions,Linebacker,Oklahoma
1795,Phil Loadholt,Minnesota Vikings,Offensive Tackle,Oklahoma
1796,Curtis Lofton,New Orleans Saints,Linebacker,Oklahoma
1797,Gerald McCoy,Tampa Bay Buccaneers,Defensive Tackle,Oklahoma
1798,Stacy McGee,Oakland Raiders,Defensive Tackle,Oklahoma
1799,Trey Millard,San Francisco 49ers,Fullback,Oklahoma
1800,DeMarco Murray,Dallas Cowboys,Running Back,Oklahoma
1801,Corey Nelson,Denver Broncos,Linebacker,Oklahoma
1802,Adrian Peterson,Minnesota Vikings,Running Back,Oklahoma
1803,Jaz Reynolds,Tennessee Titans,Wide Receiver,Oklahoma
1804,Jalen Saunders,New York Jets,Wide Receiver,Oklahoma
1805,Donald Stephenson,Kansas City Chiefs,Offensive Tackle,Oklahoma
1806,Kenny Stills,New Orleans Saints,Wide Receiver,Oklahoma
1807,Casey Walker,Carolina Panthers,Defensive Tackle,Oklahoma
1808,Tress Way,Washington Redskins,Punter,Oklahoma
1809,Damien Williams,Miami Dolphins,Running Back,Oklahoma
1810,Trent Williams,Washington Redskins,Offensive Tackle,Oklahoma
1811,Dan Bailey,Dallas Cowboys,Place kicker,Oklahoma State
1812,Calvin Barnett,Cleveland Browns,Defensive Tackle,Oklahoma State
1813,Justin Blackmon,Jacksonville Jaguars,Wide Receiver,Oklahoma State
1814,Dez Bryant,Dallas Cowboys,Wide Receiver,Oklahoma State
1815,Perrish Cox,San Francisco 49ers,Defensive Back,Oklahoma State
1816,Shamiel Gary,New England Patriots,Defensive Back,Oklahoma State
1817,Justin Gilbert,Cleveland Browns,Cornerback,Oklahoma State
1818,Parker Graham,Baltimore Ravens,Offensive Tackle,Oklahoma State
1819,Corey Hilliard,Detroit Lions,Offensive Tackle,Oklahoma State
1820,Kendall Hunter,San Francisco 49ers,Running Back,Oklahoma State
1821,Charlie Johnson,Minnesota Vikings,Offensive Guard,Oklahoma State
1822,Orie Lemon,Dallas Cowboys,Linebacker,Oklahoma State
1823,Daytawion Lowe,Philadelphia Eagles,Defensive Back,Oklahoma State
1824,Ryan McBean,Arizona Cardinals,Defensive End,Oklahoma State
1825,Russell Okung,Seattle Seahawks,Offensive Tackle,Oklahoma State
1826,Tyler Patmon,Dallas Cowboys,Defensive Back,Oklahoma State
1827,Brandon Pettigrew,Detroit Lions,Tight End,Oklahoma State
1828,Joseph Randle,Dallas Cowboys,Running Back,Oklahoma State
1829,Ryan Robinson,Oakland Raiders,Defensive End,Oklahoma State
1830,Quinn Sharp,Cincinnati Bengals,Place kicker,Oklahoma State
1831,Antonio Smith,Oakland Raiders,Defensive End,Oklahoma State
1832,Josh Stewart,Tennessee Titans,Wide Receiver,Oklahoma State
1833,Lane Taylor,Green Bay Packers,Offensive Guard,Oklahoma State
1834,Johnny Thomas,Dallas Cowboys,Defensive Back,Oklahoma State
1835,Brandon Weeden,Dallas Cowboys,Quarterback,Oklahoma State
1836,Kevin Williams,Seattle Seahawks,Defensive Tackle,Oklahoma State
1837,D.J. Morrell,St. Louis Rams,Offensive Guard,Old Dominion
1838,Kiko Alonso,Buffalo Bills,Linebacker,Oregon
1839,Mark Asper,New York Giants,Offensive Guard,Oregon
1840,Brandon Bair,Philadelphia Eagles,Defensive End,Oregon
1841,Kenjon Barner,Philadelphia Eagles,Running Back,Oregon
1842,LeGarrette Blount,Pittsburgh Steelers,Running Back,Oregon
1843,John Boyett,Denver Broncos,Strong Safety,Oregon
1844,Jairus Byrd,New Orleans Saints,Free Safety,Oregon
1845,Patrick Chung,New England Patriots,Free Safety,Oregon
1846,Kellen Clemens,San Diego Chargers,Quarterback,Oregon
1847,Drew Davis,Atlanta Falcons,Wide Receiver,Oregon
1848,Ed Dickson,Carolina Panthers,Tight End,Oregon
1849,Dennis Dixon,Buffalo Bills,Quarterback,Oregon
1850,Taylor Hart,Philadelphia Eagles,Defensive End,Oregon
1851,Ricky Havili-Heimuli,Jacksonville Jaguars,Defensive Tackle,Oregon
1852,Josh Huff,Philadelphia Eagles,Wide Receiver,Oregon
1853,LaMichael James,San Francisco 49ers,Running Back,Oregon
1854,Dion Jordan,Miami Dolphins,Defensive End,Oregon
1855,Josh Kaddu,Philadelphia Eagles,Linebacker,Oregon
1856,Wade Keliikipi,Philadelphia Eagles,Defensive Tackle,Oregon
1857,Kyle Long,Chicago Bears,Offensive Guard,Oregon
1858,Colt Lyerla,Green Bay Packers,Tight End,Oregon
1859,Jeff Maehl,Philadelphia Eagles,Wide Receiver,Oregon
1860,Casey Matthews,Philadelphia Eagles,Linebacker,Oregon
1861,Terrance Mitchell,Dallas Cowboys,Cornerback,Oregon
1862,Will Murphy,Philadelphia Eagles,Wide Receiver,Oregon
1863,Haloti Ngata,Baltimore Ravens,Defensive Tackle,Oregon
1864,David Paulson,Pittsburgh Steelers,Tight End,Oregon
1865,Spencer Paysinger,New York Giants,Linebacker,Oregon
1866,Eddie Pleasant,Houston Texans,Defensive Back,Oregon
1867,Dante Rosario,Chicago Bears,Tight End,Oregon
1868,Geoff Schwartz,New York Giants,Offensive Guard,Oregon
1869,Adam Snyder,San Francisco 49ers,Offensive Guard,Oregon
1870,Jonathan Stewart,Carolina Panthers,Running Back,Oregon
1871,De'Anthony Thomas,Kansas City Chiefs,Running Back,Oregon
1872,Walter Thurmond III,New York Giants,Cornerback,Oregon
1873,Will Tukuafu,San Francisco 49ers,Fullback,Oregon
1874,Max Unger,Seattle Seahawks,Center,Oregon
1875,Rahsaan Vaughn,Oakland Raiders,Wide Receiver,Oregon
1876,T.J. Ward,Denver Broncos,Strong Safety,Oregon
1877,Darrion Weems,Dallas Cowboys,Offensive Tackle,Oregon
1878,Brandon Williams,Carolina Panthers,Tight End,Oregon
1879,Derek Anderson,Carolina Panthers,Quarterback,Oregon State
1880,Josh Andrews,Philadelphia Eagles,Offensive Guard,Oregon State
1881,Brandon Browner,New England Patriots,Cornerback,Oregon State
1882,Victor Butler,New Orleans Saints,Linebacker,Oregon State
1883,Brandin Cooks,New Orleans Saints,Wide Receiver,Oregon State
1884,Scott Crichton,Minnesota Vikings,Defensive End,Oregon State
1885,James Dockery,Carolina Panthers,Defensive Back,Oregon State
1886,Dwan Edwards,Carolina Panthers,Defensive Tackle,Oregon State
1887,Micah Hatfield,San Diego Chargers,Wide Receiver,Oregon State
1888,John Hekker,St. Louis Rams,Punter,Oregon State
1889,Steven Jackson,Atlanta Falcons,Running Back,Oregon State
1890,Andy Levitre,Tennessee Titans,Offensive Guard,Oregon State
1891,Keenan Lewis,New Orleans Saints,Cornerback,Oregon State
1892,Gabe Miller,Washington Redskins,Linebacker,Oregon State
1893,Matt Moore,Miami Dolphins,Quarterback,Oregon State
1894,Stephen Paea,Chicago Bears,Defensive Tackle,Oregon State
1895,Michael Philipp,Miami Dolphins,None,Oregon State
1896,Jordan Poyer,Cleveland Browns,Cornerback,Oregon State
1897,Mike Remmers,Minnesota Vikings,Offensive Tackle,Oregon State
1898,Rashaad Reynolds,Jacksonville Jaguars,Cornerback,Oregon State
1899,Jacquizz Rodgers,Atlanta Falcons,Running Back,Oregon State
1900,Markus Wheaton,Pittsburgh Steelers,Wide Receiver,Oregon State
1901,Phillip Supernaw,Baltimore Ravens,Tight End,Ouachita Baptist
1902,Saalim Hakim,New York Jets,Wide Receiver,Palomar Coll. CA (J.C.)
1903,NaVorro Bowman,San Francisco 49ers,Linebacker,Penn State
1904,Brett Brackett,Miami Dolphins,Tight End,Penn State
1905,Glenn Carson,Arizona Cardinals,Linebacker,Penn State
1906,Jack Crawford,Oakland Raiders,Defensive End,Penn State
1907,Mike Farrell,Houston Texans,Offensive Tackle,Penn State
1908,Garry Gilliam,Seattle Seahawks,Offensive Tackle,Penn State
1909,Robbie Gould,Chicago Bears,Place kicker,Penn State
1910,Tamba Hali,Kansas City Chiefs,Linebacker,Penn State
1911,Jordan Hill,Seattle Seahawks,Defensive Tackle,Penn State
1912,Gerald Hodges,Minnesota Vikings,Linebacker,Penn State
1913,Josh Hull,Jacksonville Jaguars,Linebacker,Penn State
1914,DaQuan Jones,Tennessee Titans,Defensive Tackle,Penn State
1915,Sean Lee,Dallas Cowboys,Linebacker,Penn State
1916,Michael Mauti,Minnesota Vikings,Linebacker,Penn State
1917,Matt McGloin,Oakland Raiders,Quarterback,Penn State
1918,Derek Moye,Pittsburgh Steelers,Wide Receiver,Penn State
1919,Jordan Norwood,Denver Broncos,Wide Receiver,Penn State
1920,Jared Odrick,Miami Dolphins,Defensive Tackle,Penn State
1921,Rich Ohrnberger,San Diego Chargers,Offensive Guard,Penn State
1922,Paul Posluszny,Jacksonville Jaguars,Linebacker,Penn State
1923,Andrew Quarless,Green Bay Packers,Tight End,Penn State
1924,Allen Robinson,Jacksonville Jaguars,Wide Receiver,Penn State
1925,Michael Robinson,Seattle Seahawks,Fullback,Penn State
1926,Evan Royster,Washington Redskins,Running Back,Penn State
1927,A.Q. Shipley,Baltimore Ravens,Offensive Guard,Penn State
1928,Mickey Shuler,Atlanta Falcons,Tight End,Penn State
1929,Devon Still,Cincinnati Bengals,Defensive Tackle,Penn State
1930,Nathan Stupar,Jacksonville Jaguars,Linebacker,Penn State
1931,Johnnie Troutman,San Diego Chargers,Offensive Guard,Penn State
1932,John Urschel,Baltimore Ravens,Offensive Guard,Penn State
1933,Cameron Wake,Miami Dolphins,Defensive End,Penn State
1934,Stefen Wisniewski,Oakland Raiders,Center,Penn State
1935,Michael Zordich,Carolina Panthers,Fullback,Penn State
1936,Brandon Copeland,Tennessee Titans,Linebacker,Pennsylvania
1937,Greg Van Roten,Seattle Seahawks,Offensive Guard,Pennsylvania
1938,John Brown,Arizona Cardinals,Wide Receiver,Pittsburg State
1939,Brian Moorman,Buffalo Bills,Punter,Pittsburg State
1940,Chas Alecxih,San Diego Chargers,Defensive Tackle,Pittsburgh
1941,Aaron Berry,Cleveland Browns,Defensive Back,Pittsburgh
1942,C.J. Davis,Seattle Seahawks,Offensive Guard,Pittsburgh
1943,Dom DeCicco,Minnesota Vikings,Linebacker,Pittsburgh
1944,Aaron Donald,St. Louis Rams,Defensive Tackle,Pittsburgh
1945,Larry Fitzgerald,Arizona Cardinals,Wide Receiver,Pittsburgh
1946,Henry Hynoski,New York Giants,Fullback,Pittsburgh
1947,Andy Lee,San Francisco 49ers,Punter,Pittsburgh
1948,Dion Lewis,Cleveland Browns,Running Back,Pittsburgh
1949,LeSean McCoy,Philadelphia Eagles,Running Back,Pittsburgh
1950,Mike McGlynn,Washington Redskins,Offensive Guard,Pittsburgh
1951,Lucas Nix,Oakland Raiders,Offensive Guard,Pittsburgh
1952,Darrelle Revis,New England Patriots,Cornerback,Pittsburgh
1953,Tom Savage,Houston Texans,Quarterback,Pittsburgh
1954,Jabaal Sheard,Cleveland Browns,Linebacker,Pittsburgh
1955,Devin Street,Dallas Cowboys,Wide Receiver,Pittsburgh
1956,K'Waun Williams,Cleveland Browns,Defensive Back,Pittsburgh
1957,DJ Adams,Dallas Cowboys,Running Back,Portland State
1958,Adam Hayward,Washington Redskins,Linebacker,Portland State
1959,Jordan Senn,Chicago Bears,Linebacker,Portland State
1960,DeShawn Shead,Seattle Seahawks,Defensive Back,Portland State
1961,Julius Thomas,Denver Broncos,Tight End,Portland State
1962,Mitchell Van Dyk,St. Louis Rams,Offensive Tackle,Portland State
1963,Adrian Hamilton,San Diego Chargers,Linebacker,Prairie View A&M;
1964,Justin Bethel,Arizona Cardinals,Cornerback,Presbyterian
1965,Mike Catapano,Kansas City Chiefs,Defensive End,Princeton
1966,Caraun Reid,Detroit Lions,Defensive Tackle,Princeton
1967,Royce Adams,Cleveland Browns,Defensive Back,Purdue
1968,Ricardo Allen,Atlanta Falcons,Cornerback,Purdue
1969,Cliff Avril,Seattle Seahawks,Defensive End,Purdue
1970,Drew Brees,New Orleans Saints,Quarterback,Purdue
1971,Bruce Gaston,Arizona Cardinals,Defensive Tackle,Purdue
1972,Nick Hardwick,San Diego Chargers,Center,Purdue
1973,Dennis Kelly,Philadelphia Eagles,Offensive Tackle,Purdue
1974,Ryan Kerrigan,Washington Redskins,Linebacker,Purdue
1975,Greg Latta,Denver Broncos,Defensive End,Purdue
1976,Mike Neal,Green Bay Packers,Linebacker,Purdue
1977,Rob Ninkovich,New England Patriots,Defensive End,Purdue
1978,Uche Nwaneri,Dallas Cowboys,Offensive Guard,Purdue
1979,Greg Orton,New England Patriots,Wide Receiver,Purdue
1980,Curtis Painter,New York Giants,Quarterback,Purdue
1981,Kevin Pamphile,Tampa Bay Buccaneers,Offensive Tackle,Purdue
1982,Shaun Phillips,Tennessee Titans,Linebacker,Purdue
1983,Bernard Pollard,Tennessee Titans,Strong Safety,Purdue
1984,Kory Sheets,Oakland Raiders,Running Back,Purdue
1985,Kawann Short,Carolina Panthers,Defensive Tackle,Purdue
1986,Anthony Spencer,Dallas Cowboys,Defensive End,Purdue
1987,Stefan Charles,Buffalo Bills,Defensive Tackle,Regina (Canada)
1988,Akiem Hicks,New Orleans Saints,Defensive End,Regina (Canada)
1989,Jorgen Hus,St. Louis Rams,Center,Regina (Canada)
1990,Jon Ryan,Seattle Seahawks,Punter,Regina (Canada)
1991,Jason Foster,Tampa Bay Buccaneers,Offensive Guard,Rhode Island
1992,Chris Boswell,Houston Texans,Place kicker,Rice
1993,James Casey,Philadelphia Eagles,Tight End,Rice
1994,Phillip Gaines,Kansas City Chiefs,Cornerback,Rice
1995,Vance McDonald,San Francisco 49ers,Tight End,Rice
1996,Cheta Ozougwu,New Orleans Saints,Defensive End,Rice
1997,Andrew Sendejo,Minnesota Vikings,Free Safety,Rice
1998,Scott Solomon,Tampa Bay Buccaneers,Linebacker,Rice
1999,Luke Willson,Seattle Seahawks,Tight End,Rice
2000,Kendall Gaskins,New York Giants,Running Back,Richmond
2001,Justin Rogers,Kansas City Chiefs,Defensive Back,Richmond
2002,Lawrence Sidbury,Houston Texans,Defensive End,Richmond
2003,Cooper Taylor,New York Giants,Safety,Richmond
2004,Josh Vaughan,Atlanta Falcons,Running Back,Richmond
2005,Kerry Wynn,New York Giants,Defensive End,Richmond
2006,A.J. Dalton,Detroit Lions,Offensive Tackle,Robert Morris
2007,Steve Beauharnais,New England Patriots,Linebacker,Rutgers
2008,Kenny Britt,St. Louis Rams,Wide Receiver,Rutgers
2009,Kevin Brock,Cincinnati Bengals,Tight End,Rutgers
2010,Brandon Coleman,New Orleans Saints,Wide Receiver,Rutgers
2011,Marcus Cooper,Kansas City Chiefs,Cornerback,Rutgers
2012,Anthony Davis,San Francisco 49ers,Offensive Tackle,Rutgers
2013,Jeremy Deering,Oakland Raiders,Defensive Back,Rutgers
2014,Andrew DePaola,Tampa Bay Buccaneers,Center,Rutgers
2015,R.J. Dill,St. Louis Rams,Offensive Tackle,Rutgers
2016,Jonathan Freeny,Miami Dolphins,Linebacker,Rutgers
2017,Ka'Lial Glaud,Tampa Bay Buccaneers,Linebacker,Rutgers
2018,Khaseem Greene,Chicago Bears,Linebacker,Rutgers
2019,Duron Harmon,New England Patriots,Strong Safety,Rutgers
2020,Clark Harris,Cincinnati Bengals,Center,Rutgers
2021,Mark Harrison,Kansas City Chiefs,Wide Receiver,Rutgers
2022,D.C. Jefferson,Carolina Panthers,Tight End,Rutgers
2023,George Johnson,Detroit Lions,Defensive End,Rutgers
2024,Brandon Jones,Kansas City Chiefs,Defensive Back,Rutgers
2025,Jason McCourty,Tennessee Titans,Cornerback,Rutgers
2026,Devin McCourty,New England Patriots,Free Safety,Rutgers
2027,Damaso Munoz,Tampa Bay Buccaneers,Linebacker,Rutgers
2028,Quron Pratt,Philadelphia Eagles,Wide Receiver,Rutgers
2029,Ray Rice,Baltimore Ravens,Running Back,Rutgers
2030,Logan Ryan,New England Patriots,Cornerback,Rutgers
2031,Mohamed Sanu,Cincinnati Bengals,Wide Receiver,Rutgers
2032,Tiquan Underwood,Carolina Panthers,Wide Receiver,Rutgers
2033,Jamaal Westerman,Cleveland Browns,Linebacker,Rutgers
2034,Tim Wright,Tampa Bay Buccaneers,Tight End,Rutgers
2035,Joe Young,Jacksonville Jaguars,Strong Safety,Rutgers
2036,Jeremy Zuttah,Baltimore Ravens,Center,Rutgers
2037,McLeod Bethel-Thompson,San Francisco 49ers,Quarterback,Sacramento State
2038,Todd Davis,New Orleans Saints,Linebacker,Sacramento State
2039,Jeff Heath,Dallas Cowboys,Strong Safety,Saginaw Valley State
2040,Todd Herremans,Philadelphia Eagles,Offensive Guard,Saginaw Valley State
2041,Jeff Janis,Green Bay Packers,Wide Receiver,Saginaw Valley State
2042,Josh McCown,Tampa Bay Buccaneers,Quarterback,Sam Houston State
2043,Daxton Swanson,New England Patriots,Defensive Back,Sam Houston State
2044,Cortland Finnegan,Miami Dolphins,Cornerback,Samford
2045,Corey White,New Orleans Saints,Cornerback,Samford
2046,Nick Williams,Pittsburgh Steelers,Defensive Tackle,Samford
2047,Josh Johnson,San Francisco 49ers,Quarterback,San Diego
2048,Nat Berhe,New York Giants,Strong Safety,San Diego State
2049,Aaron Brewer,Denver Broncos,Center,San Diego State
2050,Vincent Brown,San Diego Chargers,Wide Receiver,San Diego State
2051,Miles Burris,Oakland Raiders,Linebacker,San Diego State
2052,Brice Butler,Oakland Raiders,Wide Receiver,San Diego State
2053,Tommie Draheim,Arizona Cardinals,Center,San Diego State
2054,Gavin Escobar,Dallas Cowboys,Tight End,San Diego State
2055,Heath Farwell,Seattle Seahawks,Linebacker,San Diego State
2056,Ronnie Hillman,Denver Broncos,Running Back,San Diego State
2057,Ryan Lindley,Arizona Cardinals,Quarterback,San Diego State
2058,Colin Lockett,Cincinnati Bengals,Wide Receiver,San Diego State
2059,Lance Louis,Indianapolis Colts,Offensive Guard,San Diego State
2060,Leon McFadden,Cleveland Browns,Cornerback,San Diego State
2061,Kassim Osgood,San Francisco 49ers,Wide Receiver,San Diego State
2062,Eric Pinkins,Seattle Seahawks,Defensive Back,San Diego State
2063,Bryce Quigley,Detroit Lions,Offensive Guard,San Diego State
2064,Chad Young,New York Jets,Running Back,San Diego State
2065,,Carolina Panthers,Cornerback,San Jose State
2066,Justin Cole,Oakland Raiders,Linebacker,San Jose State
2067,David Fales,Chicago Bears,Quarterback,San Jose State
2068,Duke Ihenacho,Denver Broncos,Strong Safety,San Jose State
2069,James Jones,Oakland Raiders,Wide Receiver,San Jose State
2070,Ina Liaina,Green Bay Packers,Running Back,San Jose State
2071,Dwight Lowery,Atlanta Falcons,Free Safety,San Jose State
2072,Ryan Otten,San Diego Chargers,Tight End,San Jose State
2073,Chris Owens,Kansas City Chiefs,Cornerback,San Jose State
2074,David Quessenberry,Houston Texans,Offensive Tackle,San Jose State
2075,Keith Smith,Dallas Cowboys,Linebacker,San Jose State
2076,Peyton Thompson,Chicago Bears,Defensive Back,San Jose State
2077,Edawn Coughman,Tampa Bay Buccaneers,Offensive Tackle,Shaw
2078,Howard Jones,Pittsburgh Steelers,Linebacker,Shepherd
2079,Dominique Jones,Buffalo Bills,Tight End,Shepherd
2080,Brent Grimes,Miami Dolphins,Cornerback,Shippensburg
2081,John Kuhn,Green Bay Packers,Fullback,Shippensburg
2082,Brandon Fusco,Minnesota Vikings,Offensive Guard,Slippery Rock
2083,John Abraham,Arizona Cardinals,Linebacker,South Carolina
2084,Antonio Allen,New York Jets,Free Safety,South Carolina
2085,Akeem Auguste,Seattle Seahawks,Defensive Back,South Carolina
2086,Jasper Brinkley,Minnesota Vikings,Linebacker,South Carolina
2087,Jadeveon Clowney,Houston Texans,Linebacker,South Carolina
2088,Jared Cook,St. Louis Rams,Tight End,South Carolina
2089,Chris Culliver,San Francisco 49ers,Defensive Back,South Carolina
2090,Justice Cunningham,St. Louis Rams,Tight End,South Carolina
2091,Patrick DiMarco,Atlanta Falcons,Fullback,South Carolina
2092,Bruce Ellington,San Francisco 49ers,Wide Receiver,South Carolina
2093,Clifton Geathers,Washington Redskins,Defensive Tackle,South Carolina
2094,Stephon Gilmore,Buffalo Bills,Cornerback,South Carolina
2095,Tori Gurley,Buffalo Bills,Wide Receiver,South Carolina
2096,Victor Hampton,Cincinnati Bengals,Cornerback,South Carolina
2097,DeVonte Holloman,Dallas Cowboys,Linebacker,South Carolina
2098,Melvin Ingram,San Diego Chargers,Linebacker,South Carolina
2099,Lemuel Jeanpierre,Seattle Seahawks,Center,South Carolina
2100,Alshon Jeffery,Chicago Bears,Wide Receiver,South Carolina
2101,T.J. Johnson,Cincinnati Bengals,Center,South Carolina
2102,Johnathan Joseph,Houston Texans,Cornerback,South Carolina
2103,Spencer Lanning,Cleveland Browns,Punter,South Carolina
2104,Marcus Lattimore,San Francisco 49ers,Running Back,South Carolina
2105,Jimmy Legree,Arizona Cardinals,Defensive Back,South Carolina
2106,Cliff Matthews,Atlanta Falcons,Defensive End,South Carolina
2107,Jamon Meredith,Tampa Bay Buccaneers,Offensive Guard,South Carolina
2108,Captain Munnerlyn,Minnesota Vikings,Cornerback,South Carolina
2109,Ronald Patrick,Dallas Cowboys,Offensive Guard,South Carolina
2110,Kelcy Quarles,New York Giants,Defensive Tackle,South Carolina
2111,Travian Robertson,Atlanta Falcons,Defensive Tackle,South Carolina
2112,Ace Sanders,Jacksonville Jaguars,Wide Receiver,South Carolina
2113,Weslye Saunders,Indianapolis Colts,Tight End,South Carolina
2114,Connor Shaw,Cleveland Browns,Quarterback,South Carolina
2115,Darian Stewart,Baltimore Ravens,Strong Safety,South Carolina
2116,Ryan Succop,Kansas City Chiefs,Place kicker,South Carolina
2117,Chaz Sutton,Tampa Bay Buccaneers,Defensive End,South Carolina
2118,D.J. Swearinger,Houston Texans,Strong Safety,South Carolina
