position,number,name,height-in,weight-lb,age,from,team,salary-14-15
Center,45,DeJuan Blair,79,270,25,Pittsburgh,Washington Wizards,2000000
Forward,8,Rasual Butler,79,215,35,La Salle,Washington Wizards,1448490
Forward-center,90,Drew Gooden,82,250,33,Kansas,Washington Wizards,1448000
Center,4,Marcin Gortat,83,240,30,Poland,Washington Wizards,10434782
Forward-center,43,Kris Humphries,81,235,29,Minnesota,Washington Wizards,4300000
Guard,24,Andre Miller,74,200,38,Utah,Washington Wizards,4625000
Forward-center,42,Nene,83,250,32,Brazil,Washington Wizards,13000000
Forward,34,Paul Pierce,79,235,37,Kansas,Washington Wizards,5305000
Forward,22,Otto Porter,80,198,21,Georgetown,Washington Wizards,4470480
Swingman,14,Glen Rice,78,206,23,Georgia Tech,Washington Wizards,816482
Forward-center,13,Kevin Seraphin,81,275,25,France,Washington Wizards,3898692
Guard,17,Garrett Temple,78,195,28,LSU,Washington Wizards,981084
Guard,2,John Wall,76,195,24,Kentucky,Washington Wizards,14746000
Swingman,9,Martell Webster,79,230,28,Seattle Preparatory (WA),Washington Wizards,5381750
Forward,7,Al-Farouq Aminu,81,215,24,Wake Forest,Dallas Mavericks,1100602
Guard,5,Jose Juan Barea,72,183,30,Northeastern,Dallas Mavericks,1310286
Center,6,Tyson Chandler,85,240,32,Dominguez HS (CA),Dallas Mavericks,14598888
Forward,9,Jae Crowder,78,235,24,Marquette,Dallas Mavericks,915243
Guard,11,Monta Ellis,75,185,29,Lanier HS (MS),Dallas Mavericks,8360000
Guard,2,Raymond Felton,73,205,30,North Carolina,Dallas Mavericks,3793693
Guard,20,Devin Harris,75,192,31,Wisconsin,Dallas Mavericks,3878000
Forward,24,Richard Jefferson,79,234,34,Arizona,Dallas Mavericks,1448490
Guard,1,Ricky Ledo,79,195,22,South Kent HS (CT),Dallas Mavericks,816482
Guard,14,Jameer Nelson,72,190,32,Saint Joseph's,Dallas Mavericks,2732000
Forward,41,Dirk Nowitzki,84,245,36,Germany,Dallas Mavericks,7974482
Forward,25,Chandler Parsons,81,227,26,Florida,Dallas Mavericks,14700000
Forward-center,4,Greg Smith,82,250,23,Fresno State,Dallas Mavericks,948163
Forward,3,Charlie Villanueva,83,232,30,Connecticut,Dallas Mavericks,1316809
Forward-center,34,Brandan Wright,82,210,27,North Carolina,Dallas Mavericks,5000000
Swingman,1,Trevor Ariza,80,210,29,UCLA,Houston Rockets,8579089
Guard,2,Patrick Beverley,73,185,26,Arkansas,Houston Rockets,915243
Forward-center,10,Tarik Black,83,253,23,Kansas,Houston Rockets,507336
Guard,0,Isaiah Canaan,72,188,23,Murray State,Houston Rockets,816482
Forward,15,Clint Capela,82,211,20,INSEP (FRA),Houston Rockets,1189200
Guard,30,Troy Daniels,76,204,23,Virginia Commonwealth,Houston Rockets,816482
Forward-center,8,Joey Dorsey,81,275,31,Memphis,Houston Rockets,948163
Swingman,32,Francisco Garcia,79,195,34,Louisville,Houston Rockets,1316809
Guard,13,James Harden,77,220,25,Arizona State,Houston Rockets,14728844
Center,12,Dwight Howard,83,265,29,SW Atlanta Academy (GA),Houston Rockets,21436271
Guard,3,Nick Johnson,75,200,22,Arizona,Houston Rockets,507336
Forward,6,Terrence Jones,81,252,22,Kentucky,Houston Rockets,1618680
Forward-center,20,Donatas Motiejunas,84,222,24,Lithuania,Houston Rockets,1483920
Forward,16,Kostas Papanikolaou,81,230,24,Greece,Houston Rockets,4800000
Guard,31,Jason Terry,74,180,37,Arizona,Houston Rockets,5850313
Guard,3,Jordan Adams,77,220,20,UCLA,Memphis Grizzlies,1344120
Swingman,9,Tony Allen,76,213,32,Oklahoma State,Memphis Grizzlies,4831461
Guard,12,Nick Calathes,78,213,25,Florida,Memphis Grizzlies,816482
Swingman,15,Vince Carter,78,220,37,North Carolina,Memphis Grizzlies,3911981
Guard,11,Mike Conley,73,185,27,Ohio State,Memphis Grizzlies,8894216
Center,33,Marc Gasol,85,265,29,Lausanne CS (TN),Memphis Grizzlies,15829688
Center,41,Kosta Koufos,84,265,25,Ohio State,Memphis Grizzlies,3000000
Swingman,5,Courtney Lee,77,200,29,Western Kentucky,Memphis Grizzlies,5450000
Forward,30,Jon Leuer,82,228,25,Wisconsin,Memphis Grizzlies,967500
Swingman,8,Quincy Pondexter,78,225,26,Washington,Memphis Grizzlies,3146068
Forward,21,Tayshaun Prince,81,215,34,Kentucky,Memphis Grizzlies,7707865
Forward,50,Zach Randolph,81,260,33,Michigan State,Memphis Grizzlies,16500000
Forward,1,Jarnell Stokes,80,260,20,Tennessee,Memphis Grizzlies,725000
Guard,19,Beno Udrih,75,210,32,Slovenia,Memphis Grizzlies,2077000
Center,42,Alexis Ajinca,86,248,26,France,New Orleans Pelicans,981084
Forward,33,Ryan Anderson,82,240,26,California,New Orleans Pelicans,8491500
Center,3,Omer Asik,84,255,28,Turkey,New Orleans Pelicans,8374646
Forward,8,Luke Babbitt,81,225,25,Nevada,New Orleans Pelicans,981084
Forward-center,23,Anthony Davis,82,220,21,Kentucky,New Orleans Pelicans,5607240
Swingman,1,Tyreke Evans,78,220,25,Memphis,New Orleans Pelicans,10763500
Guard,32,Jimmer Fredette,74,195,25,Brigham Young,New Orleans Pelicans,948163
Guard,10,Eric Gordon,76,215,26,Indiana,New Orleans Pelicans,14898938
Guard,11,Jrue Holiday,76,205,24,UCLA,New Orleans Pelicans,9904495
Forward,2,Darius Miller,80,225,24,Kentucky,New Orleans Pelicans,915243
Guard,25,Austin Rivers,76,200,22,Duke,New Orleans Pelicans,2439840
Swingman,15,John Salmons,78,207,35,Miami (FL),New Orleans Pelicans,2000000
Guard,9,Russ Smith,72,170,23,Louisville,New Orleans Pelicans,816482
Center,5,Jeff Withey,84,235,24,Kansas,New Orleans Pelicans,816482
Forward-center,4,Patric Young,81,240,24,Florida,New Orleans Pelicans,507336
Forward,1,Kyle Anderson,81,235,21,UCLA,San Antonio Spurs,1093680
Forward-center,11,Jeff Ayres,81,250,27,Arizona State,San Antonio Spurs,1828750
Forward-center,16,Aron Baynes,82,260,28,Washington State,San Antonio Spurs,2077000
Guard,3,Marco Belinelli,77,210,28,Italy,San Antonio Spurs,2873750
Forward-center,15,Matt Bonner,82,235,34,Florida,San Antonio Spurs,1448490
Forward-center,23,Austin Daye,83,220,26,Gonzaga,San Antonio Spurs,1063384
Forward-center,33,Boris Diaw,80,250,32,INSEP (FRA),San Antonio Spurs,7500000
Forward-center,21,Tim Duncan,83,255,38,Wake Forest,San Antonio Spurs,10000000
Guard,20,Manu Ginobili,78,205,37,Argentina,San Antonio Spurs,7000000
Swingman,14,Danny Green,78,210,27,North Carolina,San Antonio Spurs,4025000
Guard,5,Cory Joseph,75,185,23,Texas,San Antonio Spurs,2023261
Swingman,2,Kawhi Leonard,79,230,23,San Diego State,San Antonio Spurs,2894059
Guard,8,Patty Mills,72,185,26,Saint Mary's,San Antonio Spurs,3842105
Guard,9,Tony Parker,74,185,32,INSEP (FRA),San Antonio Spurs,12500000
Center,22,Tiago Splitter,83,245,29,Brazil,San Antonio Spurs,9250000
Swingman,10,Arron Afflalo,77,215,29,UCLA,Denver Nuggets,7750000
Forward,00,Darrell Arthur,81,235,26,Kansas,Denver Nuggets,3457149
Forward,21,Wilson Chandler,80,225,27,DePaul,Denver Nuggets,6757913
Forward,35,Kenneth Faried,80,228,25,Morehead State,Denver Nuggets,2249768
Guard,4,Randy Foye,76,213,31,Villanova,Denver Nuggets,3135000
Forward,8,Danilo Gallinari,82,225,26,Italy,Denver Nuggets,10854850
Swingman,1,Alonzo Gee,78,225,27,Alabama,Denver Nuggets,1063384
Guard,11,Erick Green,75,185,23,Virginia Tech,Denver Nuggets,507336
Guard,14,Gary Harris,76,210,20,Michigan State,Denver Nuggets,1519200
Forward-center,7,JJ Hickson,81,242,26,North Carolina State,Denver Nuggets,5381750
Guard,3,Ty Lawson,71,195,27,North Carolina,Denver Nuggets,11595506
Center,34,JaVale McGee,84,250,26,Nevada,Denver Nuggets,11250000
Center,25,Timofey Mozgov,85,250,28,Russia,Denver Nuggets,4650000
Center,23,Jusuf Nurkic,83,280,20,Bosnia and Herzegovina,Denver Nuggets,1762680
Guard,5,Nate Robinson,69,180,30,Washington,Denver Nuggets,2106720
Forward,24,Anthony Bennett,80,245,21,UNLV,Minnesota Timberwolves,5563920
Swingman,13,Corey Brewer,81,186,28,Florida,Minnesota Timberwolves,4702500
Forward,10,Chase Budinger,79,209,26,Arizona,Minnesota Timberwolves,5000000
Center,5,Gorgui Dieng,83,233,24,Louisville,Minnesota Timberwolves,1413480
Forward,4,Robbie Hummel,81,219,25,Purdue,Minnesota Timberwolves,880000
Guard,8,Zach LaVine,77,183,19,UCLA,Minnesota Timberwolves,2055840
Guard,23,Kevin Martin,79,204,31,Western Carolina,Minnesota Timberwolves,6792500
Swingman,15,Shabazz Muhammad,78,227,22,UCLA,Minnesota Timberwolves,1971960
Center,14,Nikola Pekovic,83,295,28,Montenegro,Minnesota Timberwolves,12100000
Forward,1,Glenn Robinson,79,222,20,Michigan,Minnesota Timberwolves,507336
Guard,9,Ricky Rubio,76,192,24,Spain,Minnesota Timberwolves,5070686
Center,32,Ronny Turiaf,82,249,31,Gonzaga,Minnesota Timberwolves,1500000
Swingman,22,Andrew Wiggins,80,199,19,Kansas,Minnesota Timberwolves,5510640
